score,count,cumulative,source
340,119,27119,gankaosheng.com/line/5e559683.html
339,234,27353,gankaosheng.com/line/5e559683.html
338,184,27537,gankaosheng.com/line/5e559683.html
337,227,27764,gankaosheng.com/line/5e559683.html
336,190,27954,gankaosheng.com/line/5e559683.html
335,151,28105,gankaosheng.com/line/5e559683.html
334,244,28349,gankaosheng.com/line/5e559683.html
333,184,28533,gankaosheng.com/line/5e559683.html
332,177,28710,gankaosheng.com/line/5e559683.html
331,195,28905,gankaosheng.com/line/5e559683.html
330,236,29141,gankaosheng.com/line/5e559683.html
329,137,29278,gankaosheng.com/line/5e559683.html
328,254,29532,gankaosheng.com/line/5e559683.html
327,182,29714,gankaosheng.com/line/5e559683.html
326,222,29936,gankaosheng.com/line/5e559683.html
325,134,30070,gankaosheng.com/line/5e559683.html
324,247,30317,gankaosheng.com/line/5e559683.html
323,201,30518,gankaosheng.com/line/5e559683.html
322,206,30724,gankaosheng.com/line/5e559683.html
321,203,30927,gankaosheng.com/line/5e559683.html
320,96,31023,gankaosheng.com/line/5e559683.html
319,300,31323,gankaosheng.com/line/5e559683.html
318,196,31519,gankaosheng.com/line/5e559683.html
317,187,31706,gankaosheng.com/line/5e559683.html
316,174,31880,gankaosheng.com/line/5e559683.html
315,233,32113,gankaosheng.com/line/5e559683.html
314,207,32320,gankaosheng.com/line/5e559683.html
313,216,32536,gankaosheng.com/line/5e559683.html
312,183,32719,gankaosheng.com/line/5e559683.html
311,164,32883,gankaosheng.com/line/5e559683.html
310,232,33115,gankaosheng.com/line/5e559683.html
309,210,33325,gankaosheng.com/line/5e559683.html
308,195,33520,gankaosheng.com/line/5e559683.html
307,166,33686,gankaosheng.com/line/5e559683.html
306,190,33876,gankaosheng.com/line/5e559683.html
305,174,34050,gankaosheng.com/line/5e559683.html
304,189,34239,gankaosheng.com/line/5e559683.html
303,172,34411,gankaosheng.com/line/5e559683.html
302,203,34614,gankaosheng.com/line/5e559683.html
301,186,34800,gankaosheng.com/line/5e559683.html
300,230,35030,gankaosheng.com/line/5e559683.html
299,192,35222,gankaosheng.com/line/5e559683.html
298,210,35432,gankaosheng.com/line/5e559683.html
297,193,35625,gankaosheng.com/line/5e559683.html
296,90,35715,gankaosheng.com/line/5e559683.html
295,274,35989,gankaosheng.com/line/5e559683.html
294,201,36190,gankaosheng.com/line/5e559683.html
